106,96
106,120
106,43
106,66
106,88
106,11
106,254
106,154
106,2
106,219
43,106
43,96
43,2
43,120
43,254
43,66
43,154
43,138
96,106
96,66
96,120
96,43
96,88
96,254
96,219
254,154
254,106
254,43
254,96
254,120
66,96
66,88
66,106
66,2
66,11
66,254
66,43
66,154
66,138
154,153
154,130
154,138
154,254
154,106
154,66
154,43
154,2
2,11
2,66
2,43
2,96
2,154
2,106
2,254
2,138
130,136
130,154
130,66
130,2
130,43
130,254
88,66
88,96
88,106
88,2
88,43
88,254
88,130
88,154
136,130
136,154
136,153
136,66
136,2
136,43
136,254
153,154
153,136
153,2
153,66
153,43
153,254
219,254
219,154
219,153
219,138
219,66
219,2
219,96
219,11
138,154
138,153
138,219
138,2
138,66
138,43
138,254
11,2
11,43
11,66
11,106
11,88
11,219
11,96
11,138
11,254
120,96
120,106
120,88
120,43
120,66
120,254
120,138
120,2
120,154
